Script started on 2023-10-09 15:48:20+05:30 [TERM="xterm-256color" TTY="/dev/pts/2" COLUMNS="190" LINES="47"]
bash: /home/patanjali/anaconda3/lib/libtinfo.so.6: no version information available (required by bash)
[?2004h(base) ]0;patanjali@pop-os: ~/Desktop/OSN/Mini_Project_2/mini-project-2-patanjali-b/initial-xv6/src[01;32mpatanjali@pop-os[00m:[01;34m~/Desktop/OSN/Mini_Project_2/mini-project-2-patanjali-b/initial-xv6/src[00m$ make qemu SCHD[KEDULER+[K=MLFQ
[?2004l
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ schedlert    dule    uler t   te  rtest
GRAPH 4 147 0
GRAPH 5 147 0
GRAPH 6 147 0
GRAPH 7 147 0
GRAPH 8 147 0
GRAPH 9 147 0
GRAPH 10 147 0
GRAPH 11 147 0
GRAPH 12 147 0
GRAPH 13 147 0
Process 5 finished
GRAPH 4 148 0
GRAPH 5 148 0
GRAPH 6 148 0
GRAPH 7 148 0
GRAPH 8 148 0
GRAPH 10 148 0
GRAPH 11 148 0
GRAPH 12 148 0
GRAPH 13 148 0
GRAPH 4 149 0
GRAPH 5 149 0
GRAPH 6 149 0
GRAPH 7 149 0
GRAPH 8 149 0
GRAPH 10 149 0
GRAPH 11 149 0
GRAPH 12 149 0
GRAPH 13 149 0
GRAPH 4 150 0
GRAPH 5 150 0
GRAPH 6 150 0
GRAPH 7 150 0
GRAPH 8 150 0
GRAPH 10 150 0
GRAPH 11 150 0
GRAPH 12 150 0
GRAPH 13 150 0
GRAPH 4 151 0
GRAPH 5 151 0
GRAPH 6 151 0
GRAPH 7 151 0
GRAPH 8 151 0
GRAPH 10 151 0
GRAPH 11 151 0
GRAPH 12 151 0
GRAPH 13 151 0
GRAPH 4 152 0
GRAPH 5 152 0
GRAPH 6 152 0
GRAPH 7 152 0
GRAPH 8 152 0
GRAPH 10 152 0
GRAPH 11 152 0
GRAPH 12 152 0
GRAPH 13 152 0
GRAPH 4 153 0
GRAPH 5 153 0
GRAPH 6 153 0
GRAPH 7 153 0
GRAPH 8 153 0
GRAPH 10 153 0
GRAPH 11 153 0
GRAPH 12 153 0
GRAPH 13 153 0
GRAPH 4 154 0
GRAPH 5 154 0
GRAPH 6 154 0
GRAPH 7 154 0
GRAPH 8 154 0
GRAPH 10 154 0
GRAPH 11 154 0
GRAPH 12 154 0
GRAPH 13 154 0
GRAPH 4 155 0
GRAPH 5 155 0
GRAPH 6 155 0
GRAPH 7 155 0
GRAPH 8 155 0
GRAPH 10 155 0
GRAPH 11 155 0
GRAPH 12 155 0
GRAPH 13 155 0
GRAPH 4 156 0
GRAPH 5 156 0
GRAPH 6 156 0
GRAPH 7 156 0
GRAPH 8 156 0
GRAPH 10 156 0
GRAPH 11 156 0
GRAPH 12 156 0
GRAPH 13 156 0
GRAPH 4 157 0
GRAPH 5 157 0
GRAPH 6 157 0
GRAPH 7 157 0
GRAPH 8 157 0
GRAPH 10 157 0
GRAPH 11 157 0
GRAPH 12 157 0
GRAPH 13 157 0
GRAPH 4 158 0
GRAPH 5 158 0
GRAPH 6 158 0
GRAPH 7 158 0
GRAPH 8 158 0
GRAPH 10 158 0
GRAPH 11 158 0
GRAPH 12 158 0
GRAPH 13 158 0
GRAPH 4 159 0
GRAPH 5 159 0
GRAPH 6 159 0
GRAPH 7 159 0
GRAPH 8 159 0
GRAPH 10 159 0
GRAPH 11 159 0
GRAPH 12 159 0
GRAPH 13 159 0
GRAPH 4 160 0
GRAPH 5 160 0
GRAPH 6 160 0
GRAPH 7 160 0
GRAPH 8 160 0
GRAPH 10 160 0
GRAPH 11 160 0
GRAPH 12 160 0
GRAPH 13 160 0
GRAPH 4 161 0
GRAPH 5 161 0
GRAPH 6 161 0
GRAPH 7 161 0
GRAPH 8 161 0
GRAPH 10 161 0
GRAPH 11 161 0
GRAPH 12 161 0
GRAPH 13 161 0
GRAPH 4 162 0
GRAPH 5 162 0
GRAPH 6 162 0
GRAPH 7 162 0
GRAPH 8 162 0
GRAPH 10 162 0
GRAPH 11 162 0
GRAPH 12 162 0
GRAPH 13 162 0
GRAPH 4 163 0
GRAPH 5 163 0
GRAPH 6 163 0
GRAPH 7 163 0
GRAPH 8 163 0
GRAPH 10 163 0
GRAPH 11 163 0
GRAPH 12 163 0
GRAPH 13 163 0
GRAPH 4 164 0
GRAPH 5 164 0
GRAPH 6 164 0
GRAPH 7 164 0
GRAPH 8 164 0
GRAPH 10 164 0
GRAPH 11 164 0
GRAPH 12 164 0
GRAPH 13 164 0
GRAPH 4 165 0
GRAPH 5 165 0
GRAPH 6 165 0
GRAPH 7 165 0
GRAPH 8 165 0
GRAPH 10 165 0
GRAPH 11 165 0
GRAPH 12 165 0
GRAPH 13 165 0
GRAPH 4 166 0
GRAPH 5 166 0
GRAPH 6 166 0
GRAPH 7 166 0
GRAPH 8 166 0
GRAPH 10 166 0
GRAPH 11 166 0
GRAPH 12 166 0
GRAPH 13 166 0
GRAPH 4 167 0
GRAPH 5 167 0
GRAPH 6 167 0
GRAPH 7 167 0
GRAPH 8 167 0
GRAPH 10 167 0
GRAPH 11 167 0
GRAPH 12 167 0
GRAPH 13 167 0
GRAPH 4 168 0
GRAPH 5 168 0
GRAPH 6 168 0
GRAPH 7 168 0
GRAPH 8 168 0
GRAPH 10 168 0
GRAPH 11 168 0
GRAPH 12 168 0
GRAPH 13 168 0
GRAPH 4 169 0
GRAPH 5 169 0
GRAPH 6 169 0
GRAPH 7 169 0
GRAPH 8 169 0
GRAPH 10 169 0
GRAPH 11 169 0
GRAPH 12 169 0
GRAPH 13 169 0
GRAPH 4 170 0
GRAPH 5 170 0
GRAPH 6 170 0
GRAPH 7 170 0
GRAPH 8 170 0
GRAPH 10 170 0
GRAPH 11 170 0
GRAPH 12 170 0
GRAPH 13 170 0
GRAPH 4 171 0
GRAPH 5 171 0
GRAPH 6 171 0
GRAPH 7 171 0
GRAPH 8 171 0
GRAPH 10 171 0
GRAPH 11 171 0
GRAPH 12 171 0
GRAPH 13 171 0
Process 6 finished
GRAPH 4 172 0
GRAPH 5 172 0
GRAPH 6 172 0
GRAPH 7 172 0
GRAPH 8 172 0
GRAPH 11 172 0
GRAPH 12 172 0
GRAPH 13 172 0
GRAPH 4 173 0
GRAPH 5 173 0
GRAPH 6 173 0
GRAPH 7 173 0
GRAPH 8 173 0
GRAPH 11 173 0
GRAPH 12 173 0
GRAPH 13 173 0
GRAPH 4 174 0
GRAPH 5 174 0
GRAPH 6 174 0
GRAPH 7 174 0
GRAPH 8 174 0
GRAPH 11 174 0
GRAPH 12 174 0
GRAPH 13 174 0
GRAPH 4 175 0
GRAPH 5 175 0
GRAPH 6 175 0
GRAPH 7 175 0
GRAPH 8 175 0
GRAPH 11 175 0
GRAPH 12 175 0
GRAPH 13 175 0
GRAPH 4 176 0
GRAPH 5 176 0
GRAPH 6 176 0
GRAPH 7 176 0
GRAPH 8 176 0
GRAPH 11 176 0
GRAPH 12 176 0
GRAPH 13 176 0
GRAPH 4 177 0
GRAPH 5 177 0
GRAPH 6 177 0
GRAPH 7 177 0
GRAPH 8 177 0
GRAPH 11 177 0
GRAPH 12 177 0
GRAPH 13 177 0
GRAPH 4 178 0
GRAPH 5 178 0
GRAPH 6 178 0
GRAPH 7 178 0
GRAPH 8 178 0
GRAPH 11 178 0
GRAPH 12 178 0
GRAPH 13 178 0
GRAPH 4 179 0
GRAPH 5 179 0
GRAPH 6 179 0
GRAPH 7 179 0
GRAPH 8 179 0
GRAPH 11 179 0
GRAPH 12 179 0
GRAPH 13 179 0
GRAPH 4 180 0
GRAPH 5 180 0
GRAPH 6 180 0
GRAPH 7 180 0
GRAPH 8 180 0
GRAPH 11 180 0
GRAPH 12 180 0
GRAPH 13 180 0
GRAPH 4 181 0
GRAPH 5 181 0
GRAPH 6 181 0
GRAPH 7 181 0
GRAPH 8 181 0
GRAPH 11 181 0
GRAPH 12 181 0
GRAPH 13 181 0
GRAPH 4 182 0
GRAPH 5 182 0
GRAPH 6 182 0
GRAPH 7 182 0
GRAPH 8 182 0
GRAPH 11 182 0
GRAPH 12 182 0
GRAPH 13 182 0
GRAPH 4 183 0
GRAPH 5 183 0
GRAPH 6 183 0
GRAPH 7 183 0
GRAPH 8 183 0
GRAPH 11 183 0
GRAPH 12 183 0
GRAPH 13 183 0
GRAPH 4 184 0
GRAPH 5 184 0
GRAPH 6 184 0
GRAPH 7 184 0
GRAPH 8 184 0
GRAPH 11 184 0
GRAPH 12 184 0
GRAPH 13 184 0
GRAPH 4 185 0
GRAPH 5 185 0
GRAPH 6 185 0
GRAPH 7 185 0
GRAPH 8 185 0
GRAPH 11 185 0
GRAPH 12 185 0
GRAPH 13 185 0
GRAPH 4 186 0
GRAPH 5 186 0
GRAPH 6 186 0
GRAPH 7 186 0
GRAPH 8 186 0
GRAPH 11 186 0
GRAPH 12 186 0
GRAPH 13 186 0
GRAPH 4 187 0
GRAPH 5 187 0
GRAPH 6 187 0
GRAPH 7 187 0
GRAPH 8 187 0
GRAPH 11 187 0
