Script started on 2023-10-09 15:48:20+05:30 [TERM="xterm-256color" TTY="/dev/pts/2" COLUMNS="190" LINES="47"]
bash: /home/patanjali/anaconda3/lib/libtinfo.so.6: no version information available (required by bash)
[?2004h(base) ]0;patanjali@pop-os: ~/Desktop/OSN/Mini_Project_2/mini-project-2-patanjali-b/initial-xv6/src[01;32mpatanjali@pop-os[00m:[01;34m~/Desktop/OSN/Mini_Project_2/mini-project-2-patanjali-b/initial-xv6/src[00m$ make qemu SCHD[KEDULER+[K=MLFQ
[?2004l
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ schedlert    dule    uler t   te  rtest
GRAPH 12 187 0
GRAPH 13 187 0
GRAPH 4 188 0
GRAPH 5 188 0
GRAPH 6 188 0
GRAPH 7 188 0
GRAPH 8 188 0
GRAPH 11 188 0
GRAPH 12 188 0
GRAPH 13 188 0
GRAPH 4 189 0
GRAPH 5 189 0
GRAPH 6 189 0
GRAPH 7 189 0
GRAPH 8 189 0
GRAPH 11 189 0
GRAPH 12 189 0
GRAPH 13 189 0
GRAPH 4 190 0
GRAPH 5 190 0
GRAPH 6 190 0
GRAPH 7 190 0
GRAPH 8 190 0
GRAPH 11 190 0
GRAPH 12 190 0
GRAPH 13 190 0
GRAPH 4 191 0
GRAPH 5 191 0
GRAPH 6 191 0
GRAPH 7 191 0
GRAPH 8 191 0
GRAPH 11 191 0
GRAPH 12 191 0
GRAPH 13 191 0
GRAPH 4 192 0
GRAPH 5 192 0
GRAPH 6 192 0
GRAPH 7 192 0
GRAPH 8 192 0
GRAPH 11 192 0
GRAPH 12 192 0
GRAPH 13 192 0
GRAPH 4 193 0
GRAPH 5 193 0
GRAPH 6 193 0
GRAPH 7 193 0
GRAPH 8 193 0
GRAPH 11 193 0
GRAPH 12 193 0
GRAPH 13 193 0
GRAPH 4 194 0
GRAPH 5 194 0
GRAPH 6 194 0
GRAPH 7 194 0
GRAPH 8 194 0
GRAPH 11 194 0
GRAPH 12 194 0
GRAPH 13 194 0
GRAPH 4 195 0
GRAPH 5 195 0
GRAPH 6 195 0
GRAPH 7 195 0
GRAPH 8 195 0
GRAPH 11 195 0
GRAPH 12 195 0
GRAPH 13 195 0
GRAPH 4 196 0
GRAPH 5 196 0
GRAPH 6 196 0
GRAPH 7 196 0
GRAPH 8 196 0
GRAPH 11 196 0
GRAPH 12 196 0
GRAPH 13 196 0
Process 7 finished
GRAPH 4 197 0
GRAPH 5 197 0
GRAPH 6 197 0
GRAPH 7 197 0
GRAPH 8 197 0
GRAPH 12 197 0
GRAPH 13 197 0
GRAPH 4 198 0
GRAPH 5 198 0
GRAPH 6 198 0
GRAPH 7 198 0
GRAPH 8 198 0
GRAPH 12 198 0
GRAPH 13 198 0
GRAPH 4 199 0
GRAPH 5 199 0
GRAPH 6 199 0
GRAPH 7 199 0
GRAPH 8 199 0
GRAPH 12 199 0
GRAPH 13 199 0
GRAPH 4 200 0
GRAPH 5 200 0
GRAPH 6 200 0
GRAPH 7 200 0
GRAPH 8 200 0
GRAPH 12 200 0
GRAPH 13 200 0
GRAPH 4 201 0
GRAPH 5 201 0
GRAPH 6 201 0
GRAPH 7 201 0
GRAPH 8 201 0
GRAPH 12 201 0
GRAPH 13 201 0
GRAPH 4 202 0
GRAPH 5 202 0
GRAPH 6 202 0
GRAPH 7 202 0
GRAPH 8 202 0
GRAPH 12 202 0
GRAPH 13 202 0
GRAPH 4 203 0
GRAPH 5 203 0
GRAPH 6 203 0
GRAPH 7 203 0
GRAPH 8 203 0
GRAPH 12 203 0
GRAPH 13 203 0
GRAPH 4 204 0
GRAPH 5 204 0
GRAPH 6 204 0
GRAPH 7 204 0
GRAPH 8 204 0
GRAPH 12 204 0
GRAPH 13 204 0
GRAPH 4 205 0
GRAPH 5 205 0
GRAPH 6 205 0
GRAPH 7 205 0
GRAPH 8 205 0
GRAPH 12 205 0
GRAPH 13 205 0
GRAPH 4 206 0
GRAPH 5 206 0
GRAPH 6 206 0
GRAPH 7 206 0
GRAPH 8 206 0
GRAPH 12 206 0
GRAPH 13 206 0
GRAPH 4 207 0
GRAPH 5 207 0
GRAPH 6 207 0
GRAPH 7 207 0
GRAPH 8 207 0
GRAPH 12 207 0
GRAPH 13 207 0
GRAPH 4 208 0
GRAPH 5 208 0
GRAPH 6 208 0
GRAPH 7 208 0
GRAPH 8 208 0
GRAPH 12 208 0
GRAPH 13 208 0
GRAPH 4 209 0
GRAPH 5 209 0
GRAPH 6 209 0
GRAPH 7 209 0
GRAPH 8 209 0
GRAPH 12 209 0
GRAPH 13 209 0
GRAPH 4 210 0
GRAPH 5 210 0
GRAPH 6 210 0
GRAPH 7 210 0
GRAPH 8 210 0
GRAPH 12 210 0
GRAPH 13 210 0
GRAPH 4 211 0
GRAPH 5 211 0
GRAPH 6 211 0
GRAPH 7 211 0
GRAPH 8 211 0
GRAPH 12 211 0
GRAPH 13 211 0
GRAPH 4 212 0
GRAPH 5 212 0
GRAPH 6 212 0
GRAPH 7 212 0
GRAPH 8 212 0
GRAPH 12 212 0
GRAPH 13 212 0
GRAPH 4 213 0
GRAPH 5 213 0
GRAPH 6 213 0
GRAPH 7 213 0
GRAPH 8 213 0
GRAPH 12 213 0
GRAPH 13 213 0
GRAPH 4 214 0
GRAPH 5 214 0
GRAPH 6 214 0
GRAPH 7 214 0
GRAPH 8 214 0
GRAPH 12 214 0
GRAPH 13 214 0
GRAPH 4 215 0
GRAPH 5 215 0
GRAPH 6 215 0
GRAPH 7 215 0
GRAPH 8 215 0
GRAPH 12 215 0
GRAPH 13 215 0
GRAPH 4 216 0
GRAPH 5 216 0
GRAPH 6 216 0
GRAPH 7 216 0
GRAPH 8 216 0
GRAPH 12 216 0
GRAPH 13 216 0
GRAPH 4 217 0
GRAPH 5 217 0
GRAPH 6 217 0
GRAPH 7 217 0
GRAPH 8 217 0
GRAPH 12 217 0
GRAPH 13 217 0
GRAPH 4 218 0
GRAPH 5 218 0
GRAPH 6 218 0
GRAPH 7 218 0
